episode,step,mode,SNO_2,SNO_1,SNO_3,CODTN,SNH,Flow,Qint,reward,buffer,EQI,AE,PE,EC,J,J_manual,ratio
0,158000,SAC,2.261941,4.30192,5.7464805,7.544513e+07,7.12257930766615,20648.0,61944.0,0.0,0,,,,,,,
0,158001,SAC,2.459741,4.5307384,5.9161105,0.14327644,6.57296167724849,20648.0,61944.0,0.8053279865161178,1,4579.4427268977115,4000.0,3097.2000000000003,0.8,1085180.9453795424,1293523.0,0.8389344026967764
0,158002,SAC,2.6629062,4.703745,6.0726304,0.6218837,5.97944387341092,20648.0,61944.0,1.0571202994420448,2,4253.743578904828,4000.0,3097.2000000000003,0.8,1020041.1157809655,1293523.0,0.788575940111591
0,158003,SAC,2.8537788,4.8607063,6.188022,0.60025525,5.4276031273896,20648.0,61944.0,1.2909165620325878,3,3951.3227359299203,4000.0,3097.2000000000003,0.8,959556.9471859841,1293523.0,0.7418166875934824
0,158004,SAC,3.0255232,4.987221,6.1926455,1.5286427,4.93892831547808,20648.0,61784.5390625,1.4975174131969293,4,3684.0797831292684,4000.0,3097.2000000000003,0.8,906108.3566258537,1293523.0,0.7004965173606141
0,158005,SAC,3.1735258,5.086967,6.1593623,1.4936407,4.5146075601617,20648.0,61940.59375,1.6771827631498275,5,3451.79811636527,4000.0,3089.2269531250004,0.8,859628.1041324291,1293523.0,0.6645634473700345
0,158006,SAC,3.2938933,5.1569366,6.208949,1.4474046,4.14955846951324,20648.0,61943.86328125,1.832692545905167,6,3250.5255946306106,4000.0,3097.0296875000004,0.8,819397.0079886222,1293523.0,0.6334614908189666
0,158007,SAC,3.3915315,5.2011566,6.0887194,1.3806722,3.83284984137419,20648.0,61944.0,1.968769924772647,7,3074.5039231373735,4000.0,3097.1931640625003,0.8,784193.1641196623,1293523.0,0.6062460150454706
0,158008,SAC,3.4603996,5.2154946,6.0618925,1.2910345,3.55846442062285,20648.0,61944.0,2.0891738949866916,8,2918.75851583513,4000.0,3097.2000000000003,0.8,753044.103167026,1293523.0,0.5821652210026617
0,158009,SAC,3.5053833,5.2057595,5.899871,2.0553517,3.31670319563469,20648.0,47033.35546875,2.1977675220281885,9,2778.2901616035315,4000.0,3097.2000000000003,0.8,724950.4323207063,1293523.0,0.5604464955943623
0,158010,SAC,3.5217898,5.164858,5.808978,2.0553517,3.10402509083991,20648.0,58644.83203125,2.305640893478186,10,2649.9364579438543,4000.0,2351.6677734375003,0.8,697043.0949090833,1293523.0,0.5388718213043628
0,158011,SAC,3.518658,5.1228905,5.7700505,2.0553517,2.91321642359111,20648.0,54968.046875,2.3907824651428293,11,2531.0952693176137,4000.0,2932.2416015625004,0.8,675016.5786682103,1293523.0,0.5218435069714341
0,158012,SAC,3.5024166,5.0650253,5.611578,2.0553517,2.74115656651963,20648.0,42803.5234375,2.4779025649314503,12,2421.161005345926,4000.0,2748.40234375,0.8,652478.2081004352,1293523.0,0.50441948701371
0,158013,SAC,3.4673586,4.983915,5.490637,2.0553517,2.5899114310454,20648.0,61375.1328125,2.5629798767264305,13,2320.2349383390724,4000.0,2140.176171875,0.8,630468.3161834396,1293523.0,0.48740402465471394
0,158014,SAC,3.4203813,4.907841,5.425818,2.0553517,2.45477606202203,20648.0,49345.9453125,2.6244240219447605,14,2226.8268162525724,4000.0,3068.7566406250003,0.8,614572.4331723895,1293523.0,0.4751151956110479
0,158015,SAC,3.3695023,4.831026,5.322836,2.0553517,2.33119943997642,20648.0,50953.6171875,2.6986984566775796,15,2139.7730172386723,4000.0,2467.2972656250004,0.8,595357.2952446095,1293523.0,0.4602603086644841
0,158016,SAC,3.3143864,4.7446976,5.18356,2.0553517,2.21844952071582,20648.0,60641.5625,2.7605577316941923,16,2058.5508683351077,4000.0,2547.680859375,0.8,579354.0162451466,1293523.0,0.44788845366116153
0,158017,SAC,3.2520068,4.65569,5.1587687,2.0553517,2.11791909136619,20648.0,52728.26171875,2.8130397901458104,17,1983.3981596562205,4000.0,3032.078125,0.8,565776.6663062442,1293523.0,0.4373920419708379
0,158018,SAC,3.1834362,4.5401683,4.9070497,2.0553517,2.03155234997337,20648.0,60956.48046875,2.8699328258508907,18,1915.7406850178156,4000.0,2636.4130859375,0.8,551058.1762613757,1293523.0,0.42601343482982185
0,158019,SAC,3.0933266,4.409383,4.865296,2.0553517,1.9654900452942,20648.0,60393.890625,2.911181645866478,19,1856.2132235422932,4000.0,3047.8240234375003,0.8,540386.9167787711,1293523.0,0.41776367082670435
0,158020,SAC,2.9947977,4.279275,4.702834,2.0553517,1.91198421921607,20648.0,61634.6015625,2.952858392792747,20,1802.725335210797,4000.0,3019.69453125,0.8,529604.9506359095,1293523.0,0.4094283214414506
0,158021,SAC,2.884485,4.142551,4.597284,2.0553517,1.86975610069359,20648.0,60197.203125,2.989969923771726,21,1753.790183121151,4000.0,3081.730078125,0.8,520004.02685860515,1293523.0,0.4020060152456548
0,158022,SAC,2.7724338,4.0206776,4.496355,2.0553517,1.83091485424283,20648.0,51369.47265625,3.0272898727252997,22,1706.5940196190022,4000.0,3009.8601562500003,0.8,510349.18439255044,1293523.0,0.39454202545494005
0,158023,SAC,2.663017,3.9024565,4.376769,2.0553517,1.79337526087668,20648.0,45026.4453125,3.0678509517190458,23,1660.748128887337,4000.0,2568.4736328125,0.8,499855.84667590493,1293523.0,0.38642980965619084
0,158024,SAC,2.554784,3.7789352,4.262315,2.0553517,1.76059483360573,20648.0,30973.921875,3.1045033522220056,24,1618.0946763393597,4000.0,2251.322265625,0.8,490373.70206474693,1293523.0,0.3790993295555989
0,158025,SAC,2.4439356,3.6305337,4.0792403,2.0553517,1.74465920590852,20648.0,43677.2578125,3.1379766966994063,25,1585.3355279490443,4000.0,1548.69609375,0.8,481713.9938710588,1293523.0,0.37240466066011874
