metric,value,note
official_metrics_available,1,"Official-style metrics based on BSM2 perf_plant_bsm2.m definitions, excluding optional fuzzy risk prompt."
eval_start_day,245,""
eval_stop_day,609,""
eval_days,364,""
elapsed_seconds,NaN,""
IQI_kg_pollution_units_per_d,74783.3137967288,""
EQI_kg_pollution_units_per_d,5551.77841816158,""
OCI_total,11265.3143485565,""
OCI_sludge_cost,8545.43264742163,""
OCI_aeration_energy_cost,3848.61932634968,""
OCI_pumping_energy_cost,410.107027538587,""
OCI_carbon_cost,4494.27223947671,""
OCI_mixing_energy_cost,768.051510988684,""
OCI_heating_cost,0,""
OCI_methane_credit,6801.16840321879,""
airenergy_kWh_per_d,3848.61932634968,""
pumpenergy_kWh_per_d,410.107027538587,""
mixenergy_kWh_per_d,768.051510988684,""
carbon_kgCOD_per_d,1498.09074649224,""
methane_kgCH4_per_d,1133.52806720313,""
effluent_flow_m3_per_d,20662.2724546959,""
SNH95_gN_per_m3,5.7999015857681,""
TN95_gN_per_m3,15.4742818888974,""
TSS95_gSS_per_m3,19.1829182810513,""
TN_violation_days,1.64583333333184,""
TN_violation_percent,0.452152014651603,""
TN_violation_count,14,""
COD_violation_days,0.218749999999801,""
COD_violation_percent,0.0600961538460992,""
COD_violation_count,3,""
SNH_violation_days,47.0520833332905,""
SNH_violation_percent,12.9263965201348,""
SNH_violation_count,162,""
TSS_violation_days,0.958333333332462,""
TSS_violation_percent,0.263278388278149,""
TSS_violation_count,9,""
BOD5_violation_days,0.833333333332575,""
BOD5_violation_percent,0.228937728937521,""
BOD5_violation_count,9,""
