metric,value,note
official_metrics_available,1,"Official-style metrics based on BSM2 perf_plant_bsm2.m definitions, excluding optional fuzzy risk prompt."
eval_start_day,245,""
eval_stop_day,609,""
eval_days,364,""
elapsed_seconds,NaN,""
IQI_kg_pollution_units_per_d,74783.3137967288,""
EQI_kg_pollution_units_per_d,5756.16613081017,""
OCI_total,10631.071767321,""
OCI_sludge_cost,8103.61315577462,""
OCI_aeration_energy_cost,5032.38242290339,""
OCI_pumping_energy_cost,434.393303609213,""
OCI_carbon_cost,2766.89876311051,""
OCI_mixing_energy_cost,768.030906593079,""
OCI_heating_cost,0,""
OCI_methane_credit,6474.24678466983,""
airenergy_kWh_per_d,5032.38242290339,""
pumpenergy_kWh_per_d,434.393303609213,""
mixenergy_kWh_per_d,768.030906593079,""
carbon_kgCOD_per_d,922.299587703504,""
methane_kgCH4_per_d,1079.04113077831,""
effluent_flow_m3_per_d,20661.4045907415,""
SNH95_gN_per_m3,1.41618758148357,""
TN95_gN_per_m3,18.0319551289772,""
TSS95_gSS_per_m3,19.8448060375196,""
TN_violation_days,18.7708333333163,""
TN_violation_percent,5.15682234431765,""
TN_violation_count,109,""
COD_violation_days,0.229166666666458,""
COD_violation_percent,0.0629578754578182,""
COD_violation_count,3,""
SNH_violation_days,0.92708333333249,""
SNH_violation_percent,0.254693223442992,""
SNH_violation_count,5,""
TSS_violation_days,1.41666666666538,""
TSS_violation_percent,0.389194139193785,""
TSS_violation_count,13,""
BOD5_violation_days,0.822916666665918,""
BOD5_violation_percent,0.226076007325802,""
BOD5_violation_count,9,""
