window,start_day,stop_day,duration_days_from_weights,rows,time_min,time_max,reward_total_mean_tw,reward_total_p05,reward_total_p50,reward_total_p95,reward_total_min,reward_total_max,reward_unclipped_mean_tw,reward_unclipped_p05,reward_unclipped_p50,reward_unclipped_p95,reward_unclipped_min,reward_unclipped_max,reward_nam_clipped_mean_tw,reward_nam_clipped_p05,reward_nam_clipped_p50,reward_nam_clipped_p95,reward_nam_clipped_min,reward_nam_clipped_max,J_joint_mean_tw,J_joint_p05,J_joint_p50,J_joint_p95,J_joint_min,J_joint_max,EQI_mean_tw,EQI_p05,EQI_p50,EQI_p95,EQI_min,EQI_max,AE_mean_tw,AE_p05,AE_p50,AE_p95,AE_min,AE_max,PE_mean_tw,PE_p05,PE_p50,PE_p95,PE_min,PE_max,EC_mean_tw,EC_p05,EC_p50,EC_p95,EC_min,EC_max,SRT_3d_mean_tw,SRT_3d_p05,SRT_3d_p50,SRT_3d_p95,SRT_3d_min,SRT_3d_max,Eff_Q_mean_tw,Eff_Q_p05,Eff_Q_p50,Eff_Q_p95,Eff_Q_min,Eff_Q_max,Qec_mean_tw,Qec_p05,Qec_p50,Qec_p95,Qec_min,Qec_max,Qint_mean_tw,Qint_p05,Qint_p50,Qint_p95,Qint_min,Qint_max,SO4ref_mean_tw,SO4ref_p05,SO4ref_p50,SO4ref_p95,SO4ref_min,SO4ref_max,Qw_mean_tw,Qw_p05,Qw_p50,Qw_p95,Qw_min,Qw_max,SO_4_state_mean_tw,SO_4_state_p05,SO_4_state_p50,SO_4_state_p95,SO_4_state_min,SO_4_state_max,KLa5_mean_tw,KLa5_p05,KLa5_p50,KLa5_p95,KLa5_min,KLa5_max,J_reward_base_no_penalties_mean_tw,controllable_OCI_components_mean_tw,TN_mean_timeweighted,TN_mean_flowweighted,TN_p95_sample,TN_max,TN_violation_count_samples_bsm2,TN_violation_days_bsm2,TN_violation_percent_bsm2,TN_violation_occasions_bsm2,TN_violation_percent_timeweighted,TN_soft_violation_percent_timeweighted,SNH_mean_timeweighted,SNH_mean_flowweighted,SNH_p95_sample,SNH_max,SNH_violation_count_samples_bsm2,SNH_violation_days_bsm2,SNH_violation_percent_bsm2,SNH_violation_occasions_bsm2,SNH_violation_percent_timeweighted,SNH_soft_violation_percent_timeweighted,TSS_mean_timeweighted,TSS_mean_flowweighted,TSS_p95_sample,TSS_max,TSS_violation_count_samples_bsm2,TSS_violation_days_bsm2,TSS_violation_percent_bsm2,TSS_violation_occasions_bsm2,TSS_violation_percent_timeweighted,TSS_soft_violation_percent_timeweighted,COD_mean_timeweighted,COD_mean_flowweighted,COD_p95_sample,COD_max,COD_violation_count_samples_bsm2,COD_violation_days_bsm2,COD_violation_percent_bsm2,COD_violation_occasions_bsm2,COD_violation_percent_timeweighted,COD_soft_violation_percent_timeweighted,BOD5_mean_timeweighted,BOD5_mean_flowweighted,BOD5_p95_sample,BOD5_max,BOD5_violation_count_samples_bsm2,BOD5_violation_days_bsm2,BOD5_violation_percent_bsm2,BOD5_violation_occasions_bsm2,BOD5_violation_percent_timeweighted,BOD5_soft_violation_percent_timeweighted,Eff_SNO_flowweighted_mean,Eff_SNH_flowweighted_mean,Eff_SND_flowweighted_mean,Eff_XND_flowweighted_mean,Eff_TSS_flowweighted_mean,Qec_near_low_pct_samples,Qec_near_high_pct_samples,Qint_near_low_pct_samples,Qint_near_high_pct_samples,SO4ref_near_low_pct_samples,SO4ref_near_high_pct_samples,Qw_near_low_pct_samples,Qw_near_high_pct_samples,delta_clip_any_pct_samples,physical_clip_any_pct_samples,reward_total_floor_minus5_pct_samples,reward_nam_clipped_floor_minus1_pct_samples,qec_alpha_final,qec_alpha_min,qint_alpha_final,qint_alpha_min,do_alpha_final,do_alpha_min,qw_alpha_final,qw_alpha_min
full_0_619,0,608.993670027164,608.9092143046548,58462,0.0844557225091166,608.983501263712,-1.0368402285203637,-5.0,-0.5576208809910099,2.867537574294921,-5.0,3.838110425676052,-2.7059043970689056,-16.39901184547933,-0.5576208809910099,2.867537574294921,-73.4353654314309,3.838110425676052,0.16012467348727877,-1.0,-0.5576208809910099,2.867537574294921,-1.0,3.838110425676052,1982709.1660143973,548677.03773161,1429961.4028646962,5505910.110411033,298951.1665606585,20181215.59355705,6625.2668694226,2197.596415626841,5780.359025206443,13577.334458305844,975.5045140252334,67383.10003636168,3202.0267015818667,2026.8378332052064,3187.28835739254,4501.740069922302,879.6547777866559,6044.831139537036,316.5116085223151,207.32132904111967,307.979793548584,434.4752182109654,185.184,435.46,472.17648130766406,0.0,0.0,2000.0,0.0,2000.0,18.045984397757483,14.555647173326784,18.3195573701076,20.206233529369484,9.2257691589314,34.1931259138586,21014.7063834739,10016.102681971584,19803.075658733702,35922.90474167329,5144.72826751647,85819.122553059,1.1805521425572294,0.0,0.0,5.0,0.0,5.0,33748.86231582743,5000.0,31111.93406677246,61944.0,5000.0,61944.0,3.1121362451060186,0.0,0.2930048182606697,10.0,0.0,10.0,326.8585093445709,0.0,439.2550535425544,450.0,0.0,450.0,0.5186513739714697,0.41276249095803397,0.516417420085165,0.6307682540332622,0.171002278773254,0.917857999757243,48.030290469882175,30.402619369527773,47.8093046089637,67.52603106829717,13.1948216667998,90.6724670930557,1454556.1532546694,4935.067754027174,11.99991207596765,12.123149759136489,16.33724224896248,22.535621104570016,649,6.760416666666667,1.1100963769237735,42,1.1108011724733988,6.527644681117442,3.210490411746441,3.3562232511164045,9.26303912036594,16.1594287569145,19987,208.19791666666666,34.18720537068637,380,34.17943232306178,41.504044954810404,14.13941740870535,15.58921634097621,19.8753455860207,75.1379849542101,187,1.9479166666666667,0.3198582780966805,20,0.3204171595769545,1.2055188680885514,48.18686299431094,49.485845876535016,55.469296879707386,126.39338983790992,44,0.4583333333333333,0.075260771316866,6,0.07560736843055701,0.10356198149134228,2.370839519602349,2.6298650437431275,3.3933100009294046,20.94963193202323,87,0.90625,0.1488110705583487,11,0.14997813284757733,0.2064188195361091,6.717664920238401,3.356196806883561,0.5997428469401972,0.023563451348445053,15.589181062967137,69.3972152851425,18.942218877219393,16.37644965960795,21.74232835003934,46.77397283705655,10.81728302144983,13.444630700283945,43.06044952276692,0.0,0.0,21.106017584071704,44.468201566829734,0.0956024080514907,0.0536380633711814,0.0365035645663738,0.0246389470994472,0.0312765501439571,0.0160022117197513,0.0368441827595233,0.0146233905106782
official_245_609,245,609.0,363.99367002716394,34944,244.990140252091,608.983501263712,-0.6652379627253916,-5.0,-0.1501479516727473,2.931682332319923,-5.0,3.838110425676052,-1.8640829213932468,-13.700800964769769,-0.1501479516727473,2.931682332319923,-53.59087514310721,3.838110425676052,0.3150039461954907,-1.0,-0.1501479516727473,2.931682332319923,-1.0,3.838110425676052,1766110.6890588866,532172.7582681477,1325119.6775807235,4811667.466152753,298951.1665606585,15075279.838046111,6226.27012504034,2125.5062202416707,5464.27550664162,12556.663696065536,975.5045140252334,55092.242075422655,3209.3420223520275,1980.561462622901,3199.8155916352725,4557.741061184555,879.6547777866559,6044.831139537036,303.6753978342815,204.14975328493196,289.7443956941366,432.64541518706824,185.184,435.46,404.29364272025924,0.0,0.0,2000.0,0.0,2000.0,18.208854459502255,14.793382675929724,18.38540525474635,20.952984466761635,11.7072556970364,23.1156015788668,20660.497396925035,9926.174615288159,19445.0235859089,35203.05111697773,5144.72826751647,76919.0716282966,1.0108235272315198,0.0,0.0,5.0,0.0,5.0,30998.83208583452,5000.0,26898.32236480713,61944.0,5000.0,61944.0,1.947435284912765,0.0,0.0,10.0,0.0,10.0,290.1990501154692,0.0,444.322651296854,450.0,0.0,450.0,0.5189879335764409,0.41137317524326705,0.5167560890358041,0.6330509586725168,0.171002278773254,0.917857999757243,48.140130335280396,29.708421939343513,47.99723387452905,68.3661159177685,13.1948216667998,90.6724670930557,1374943.0257383722,4725.898348347087,11.735020576914502,11.857391753970726,16.000723654591567,20.596966818236027,229,2.3854166666666665,0.655334249084249,15,0.6558965985935433,5.0078587462001085,2.731923049253042,2.8681238756399363,8.643506303518793,14.7908270643145,9660,100.625,27.64423076923077,203,27.61789264536612,34.77790542965099,13.88191834467985,15.295773784521959,19.53104784032407,72.5536306679283,96,1.0,0.27472527472527475,10,0.275853322800372,1.105026605172549,47.998603863969954,49.285635126434805,55.266576432310714,122.95843962928495,21,0.21875,0.06009615384615385,3,0.06168335902909195,0.07833587486141544,2.2779079039391066,2.521814299345892,3.2891791609408827,18.32991546563771,39,0.40625,0.11160714285714285,5,0.11080280986969769,0.17092457604782768,6.964073430518896,2.8681238756399363,0.6090091189177947,0.01968954129506917,15.295773784521959,76.0731456043956,18.400869963369964,18.844436813186814,22.916666666666664,63.020833333333336,8.124427655677655,22.39010989010989,47.00950091575092,0.0,0.0,16.543612637362635,38.573145604395606,0.0956024080514907,0.0536380633711814,0.0365035645663738,0.0323091745376586,0.0312765501439571,0.0160022117197513,0.0368441827595233,0.0221695024520158
post_eval_609_619,609,608.993670027164,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,,0,,,,,,,0,0.0,,0,,,,,,,0,0.0,,0,,,,,,,0,0.0,,0,,,,,,,0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tail_30_days_before_609,579,609.0,29.993670027163944,2880,578.989932223812,608.983501263712,0.7839232637633476,-3.558372183092104,0.9267985792831399,3.2042702947000716,-5.0,3.658128679182283,0.38722063117088446,-3.558372183092104,0.9267985792831399,3.2042702947000716,-42.205228795090136,3.658128679182283,1.0298027200930446,-1.0,0.9267985792831399,3.2042702947000716,-1.0,3.658128679182283,1186856.1383733721,462036.5842764377,1048024.135226754,2202046.91094191,345260.0019809645,12145782.635381823,5103.740038640115,1798.5169338163114,4397.720795097804,9932.706366529606,1279.970519931768,52828.43228199113,3473.9666528494095,1976.6904076532292,3484.3879551171513,4975.651590807139,1406.2669833350374,6044.831139537036,246.81788810072496,198.3247117878273,229.4006619491577,328.7671927246092,185.184,434.6321964746714,701.0005731068978,0.0,0.0,2000.0,0.0,2000.0,18.54580266997394,14.043147379359846,19.0101801618031,20.33544557103571,13.681168744375,20.6525469442748,20193.8286097512,8802.330684245446,18888.996002319298,35866.79677992908,6523.44807001012,75441.5737722644,1.7523246732312898,0.0,0.0,5.0,0.0,5.0,15656.441670420547,5000.0,11397.06901550293,35606.64250640869,5000.0,61944.0,0.17396887348605836,0.0,0.0,1.251844429917395,0.0,6.093372758477926,378.806951387393,50.91374639570718,450.0,450.0,0.0,450.0,0.5183073232247941,0.4063037822333025,0.5178353936125826,0.6375208590709788,0.304154663692428,0.820142583628062,52.10949979274114,29.65035611479848,52.26581932675735,74.634773862107,21.0940047500256,90.6724670930557,1161148.1280794085,5823.786260270828,10.453678520117458,10.629432845056035,13.73273875646674,17.86150296690863,0,0.0,0.0,0,0.0,0.9790068086399693,0.6807765023664003,0.852616295925042,2.217682085522938,6.70266567557986,44,0.4583333333333333,1.5277777777777777,3,1.5089712619533335,2.5875954791260782,13.638783580339581,16.06520344230206,19.20572221244835,72.5536306679283,39,0.40625,1.3541666666666667,2,1.3467710405602995,2.5046014016380105,47.51201174178909,49.792858420966795,54.84059974509569,122.95843962928495,12,0.125,0.4166666666666667,1,0.4186603219488204,0.483159048538206,2.0683164854814318,2.5307524824662186,2.808054882061964,18.32991546563771,16,0.16666666666666666,0.5555555555555555,1,0.5571487706495054,0.8929696425761275,7.656507134871535,0.852616295925042,0.6891474901658492,0.05069965110202828,16.06520344230206,60.0,27.98611111111111,32.5,1.284722222222222,79.47916666666667,0.0,3.4375000000000004,57.048611111111114,0.0,0.0,4.375,12.083333333333334,0.0956024080514907,0.0823710337281227,0.0365035645663738,0.032936293631792,0.0312765501439571,0.0213855896145105,0.0368441827595233,0.027277173474431
