metric,unit,run,manual,ratio_run_over_manual,improvement_pct_lower_is_better
EQI,kg pollution units/d,6226.27012504034,5576.66502786142,1.1164863038990949,-11.648630389909487
Aeration energy AE,kWh/d,3209.3420223520275,4225.43261411467,0.7595298080559881,24.047019194401187
Pumping energy PE,kWh/d,303.6753978342815,445.452527096564,0.6817233697463155,31.827663025368448
External carbon EC,kg COD/d,404.29364272025924,800.0,0.5053670534003241,49.463294659967595
Reward objective J without safety penalties,reward J units,1374943.0257383722,1286486.6677181604,1.0687580837328898,-6.875808373288983
Training J_joint with penalties,reward J units,1766110.6890588866,1286486.6677181604,1.3728169388583207,-37.28169388583207
Controllable OCI components AE+PE+3EC,OCI partial,4725.898348347087,7070.885141211234,0.6683602199678139,33.16397800321861
TN violation time,% eval time,0.655334249084249,1.17616758241651,0.5571776155722841,44.28223844277159
SNH violation time,% eval time,27.64423076923077,0.409226190475818,67.55244755250904,-6655.244755250904
TSS violation time,% eval time,0.27472527472527475,0.343406593406281,0.8000000000007279,19.99999999992721
COD violation time,% eval time,0.06009615384615385,0.0572344322343802,1.0500000000009546,-5.000000000095461
BOD5 violation time,% eval time,0.11160714285714285,0.226076007325802,0.4936708860763977,50.632911392360235
TN p95,gN/m3,16.000723654591567,16.7524796692528,0.955125687092103,4.487431290789701
SNH p95,gN/m3,8.643506303518793,1.54265415040208,5.603009787557331,-460.30097875573307
TSS p95,gSS/m3,19.53104784032407,19.7367309726632,0.9895786626152013,1.0421337384798668
